,id,time_post,time_parse,link,city,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,district,street,house_number,underground,Холодильник,Стиральная машина,Телевизор,Ванна,Мебель на кухне,Посудомоечная машина,Кондиционер,Интернет,Душевая кабина,Мебель в комнатах,Жилая площадь,Площадь кухни,Высота потолков,Планировка,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Аварийность,Парковка
0,295462773,27/11/2023  13:15,06/12/2023 02:41,https://spb.cian.ru/rent/flat/295462773/,Санкт-Петербург,3,7,5,215.0,837,180000,Петроградский,Каменноостровский проспект,54/31,Петроградская,1,1,1,1,1,1,1,1,1,1,150.0,33.0,3.7,,2.0,,На улицу и двор,Дизайнерский,1910.0,,Нет,Наземная
1,295422029,23/11/2023  22:47,06/12/2023 02:41,https://spb.cian.ru/rent/flat/295422029/,Санкт-Петербург,11,11,5,250.0,1800,450000,Приморский,Дибуновская ,50,Старая Деревня,1,1,1,1,1,1,1,1,1,1,150.0,25.0,3.0,,2.0,,На улицу и двор,Дизайнерский,2005.0,Монолитно-кирпичный,Нет,Подземная
2,295409447,23/11/2023  23:35,28/11/2023 04:51,https://spb.cian.ru/rent/flat/295409447/,Санкт-Петербург,15,22,5,125.0,760,95000,Московский,проспект Космонавтов,61к1,Звездная,1,1,1,1,1,1,1,1,1,1,65.0,15.0,2.8,,3.0,2 лоджии,На улицу и двор,Евроремонт,2007.0,Кирпичный,Нет,Подземная
3,295401168,26/11/2023  10:47,28/11/2023 04:52,https://spb.cian.ru/rent/flat/295401168/,Санкт-Петербург,7,7,5,438.0,2283,1000000,Центральный,переулок Басков,2,Маяковская,1,1,1,1,1,1,1,1,1,1,,50.0,3.0,,3.0,1 балкон,Во двор,Дизайнерский,2018.0,,Нет,Подземная
4,295325654,27/11/2023  21:24,06/12/2023 02:41,https://spb.cian.ru/rent/flat/295325654/,Санкт-Петербург,6,6,5,180.0,833,150000,Центральный, Рубинштейна,4,Достоевская,1,1,1,0,1,1,0,1,0,1,90.0,50.0,,,1.0,"1 лоджия, 1 балкон",,Дизайнерский,,,,Открытая
5,295289297,20/11/2023  19:45,06/12/2023 02:53,https://spb.cian.ru/rent/flat/295289297/,Санкт-Петербург,3,7,5,215.0,837,180000,Петроградский,Каменноостровский проспект,54/31,Петроградская,1,1,1,0,1,1,0,1,0,1,150.0,35.0,,,1.0,,,Дизайнерский,1910.0,,Нет,Открытая
6,295244011,27/11/2023  16:24,06/12/2023 02:41,https://spb.cian.ru/rent/flat/295244011/,Санкт-Петербург,2,3,5,250.0,2000,500000,Петроградский,2-я Березовая аллея,19,Черная речка,0,0,0,0,0,0,0,0,0,0,180.0,40.0,,Смежная,1.0,,,Дизайнерский,2003.0,,Нет,
7,295239902,27/11/2023  11:38,06/12/2023 02:41,https://spb.cian.ru/rent/flat/295239902/,Санкт-Петербург,3,7,5,215.0,837,180000,Петроградский,Каменноостровский проспект,54/31,Петроградская,1,1,1,1,1,1,1,1,1,1,145.0,60.0,,Смежная/Изолированная,2.0,,,Дизайнерский,1910.0,,Нет,
8,295153986,16/11/2023  18:14,06/12/2023 02:41,https://spb.cian.ru/rent/flat/295153986/,Санкт-Петербург,5,5,5,260.0,961,250000,Центральный,Караванная ,14,Гостиный двор,1,1,1,0,1,1,1,1,0,1,141.0,22.0,,Смежная/Изолированная,4.0,,На улицу и двор,Дизайнерский,1798.0,Кирпичный,Нет,Открытая
9,295055846,20/11/2023  17:40,06/12/2023 02:41,https://spb.cian.ru/rent/flat/295055846/,Санкт-Петербург,3,5,5,215.0,837,180000,Петроградский,Каменноостровский проспект,54/31,Петроградская,1,1,1,0,1,0,0,1,0,1,152.0,35.0,,Смежная/Изолированная,,,,Евроремонт,1910.0,,Нет,
